"","site","year","gap.class","percent","sample_size"
"1","WestRimUnit19","2021","percent_gap25to50cm",0.733333333333333,3
"2","WestRimUnit19","2021","percent_gap51to100cm",1.57333333333333,3
"3","WestRimUnit19","2021","percent_gap101to200cm",2.42666666666667,3
"4","WestRimUnit19","2021","percent_gap200cm.plus",53.0755555555556,3
"5","WestRimUnit19","2021","percent_canopy_cover",42.1911111111111,3
"6","Dawson4","2021","percent_gap25to50cm",0.2,3
"7","Dawson4","2021","percent_gap51to100cm",1.04888888888889,3
"8","Dawson4","2021","percent_gap101to200cm",1.13333333333333,3
"9","Dawson4","2021","percent_gap200cm.plus",81.9733333333333,3
"10","Dawson4","2021","percent_canopy_cover",15.6444444444444,3
"11","RimRoad","2021","percent_gap25to50cm",2.19,4
"12","RimRoad","2021","percent_gap51to100cm",4.39666666666667,4
"13","RimRoad","2021","percent_gap101to200cm",9.19666666666667,4
"14","RimRoad","2021","percent_gap200cm.plus",33.1133333333333,4
"15","RimRoad","2021","percent_canopy_cover",51.1033333333333,4
"16","SimsMesa1","2021","percent_gap25to50cm",0,3
"17","SimsMesa1","2021","percent_gap51to100cm",0,3
"18","SimsMesa1","2021","percent_gap101to200cm",0,3
"19","SimsMesa1","2021","percent_gap200cm.plus",99.8577777777778,3
"20","SimsMesa1","2021","percent_canopy_cover",0.142222222222222,3
"21","SimsMesa2","2021","percent_gap25to50cm",0,3
"22","SimsMesa2","2021","percent_gap51to100cm",0.226666666666667,3
"23","SimsMesa2","2021","percent_gap101to200cm",0,3
"24","SimsMesa2","2021","percent_gap200cm.plus",92.6133333333333,3
"25","SimsMesa2","2021","percent_canopy_cover",7.16,3
"26","AnimasCityMountain","2021","percent_gap25to50cm",0.942222222222222,3
"27","AnimasCityMountain","2021","percent_gap51to100cm",1.83111111111111,3
"28","AnimasCityMountain","2021","percent_gap101to200cm",2.32,3
"29","AnimasCityMountain","2021","percent_gap200cm.plus",53.2977777777778,3
"30","AnimasCityMountain","2021","percent_canopy_cover",41.6088888888889,3
"31","RabbitMountain","2021","percent_gap25to50cm",2.32444444444444,3
"32","RabbitMountain","2021","percent_gap51to100cm",6.12888888888889,3
"33","RabbitMountain","2021","percent_gap101to200cm",11.0844444444444,3
"34","RabbitMountain","2021","percent_gap200cm.plus",29.3511111111111,3
"35","RabbitMountain","2021","percent_canopy_cover",51.1111111111111,3
"36","RimRoad","2022","percent_gap25to50cm",0,1
"37","RimRoad","2022","percent_gap51to100cm",0,1
"38","RimRoad","2022","percent_gap101to200cm",0,1
"39","RimRoad","2022","percent_gap200cm.plus",82.72,1
"40","RimRoad","2022","percent_canopy_cover",17.28,1
